time,value
 00:01:42.406800,19
 00:01:43.391740,19
 00:01:44.373230,19
 00:01:45.394630,19
 00:01:46.354550,19
 00:01:47.397430,19
 00:01:48.377340,19
 00:01:49.379470,19
 00:01:50.387670,19
 00:01:51.341990,19
 00:01:52.336290,19
 00:01:53.338190,19
 00:01:54.394210,19
 00:01:55.406090,19
 00:01:56.391010,19
 00:01:57.387840,19
 00:01:58.359100,19
 00:01:59.357630,19
 00:02:00.393740,19
 00:02:01.353880,19
 00:02:02.382640,19
 00:02:03.358920,19
 00:02:04.389470,19
 00:02:05.358130,19
 00:02:06.369730,19
 00:02:07.367510,19
 00:02:08.379500,19
 00:02:09.398410,19
 00:02:10.335380,19
 00:02:11.368240,19
 00:02:12.376300,19
 00:02:13.375530,19
 00:02:14.357410,19
 00:02:15.346210,19
 00:02:16.400800,19
 00:02:17.404240,19
 00:02:18.385050,19
 00:02:19.397840,19
 00:02:20.384820,19
 00:02:21.399760,19
 00:02:22.356040,19
 00:02:23.358890,19
 00:02:24.352650,19
 00:02:25.371650,19
 00:02:26.363600,19
 00:02:27.407250,19
 00:02:28.412280,19
 00:02:29.357750,19
 00:02:30.374570,19
 00:02:31.380720,19
 00:02:32.363290,19
 00:02:33.350470,19
 00:02:34.396330,19
 00:02:35.336530,19
 00:02:36.351480,19
 00:02:37.330210,19
 00:02:38.342940,19
 00:02:39.352060,19
 00:02:40.372290,19
 00:02:41.385080,19
 00:02:42.362590,19
 00:02:43.319390,19
 00:02:44.259320,19
 00:02:45.231680,19
 00:02:46.207370,19
 00:02:47.115110,19
 00:02:48.140430,19
 00:02:49.069310,19
 00:02:50.093870,19
 00:02:51.071570,19
 00:02:52.080760,19
 00:02:53.057150,19
 00:02:53.982950,19
 00:02:54.978000,19
 00:02:55.976080,19
 00:02:56.980630,19
 00:02:57.991980,19
 00:02:58.945600,19
 00:02:59.956660,19
 00:03:00.979260,19
 00:03:01.961980,19
 00:03:02.948680,19
 00:03:03.918320,19
 00:03:04.946130,19
 00:03:05.929770,19
 00:03:06.916240,19
 00:03:07.913510,19
 00:03:08.921280,19
 00:03:09.918300,19
 00:03:10.920630,19
 00:03:11.921910,19
 00:03:12.911810,19
 00:03:13.897330,19
 00:03:14.911200,19
 00:03:15.901380,19
 00:03:16.874490,19
 00:03:17.870270,19
 00:03:18.896930,19
 00:03:19.882750,19
 00:03:20.893190,19
 00:03:21.891110,19
 00:03:22.913360,19
 00:03:23.889820,19
 00:03:24.905460,19
 00:03:25.902810,19
 00:03:26.921940,19
 00:03:27.864430,19
 00:03:28.867950,19
 00:03:29.873450,19
 00:03:30.877710,19
 00:03:31.871220,19
 00:03:32.867910,19
 00:03:33.870860,19
 00:03:34.876040,19
 00:03:35.875310,19
 00:03:36.867040,19
 00:03:37.869300,19
 00:03:38.923300,19
 00:03:39.872390,19
 00:03:40.879640,19
 00:03:41.875910,19
 00:03:42.932280,19
 00:03:43.938140,19
 00:03:44.938330,19
 00:03:45.878610,19
 00:03:46.869330,19
 00:03:47.881280,19
 00:03:48.871020,19
 00:03:49.911560,19
 00:03:50.897280,19
 00:03:51.900200,19
 00:03:52.883880,19
 00:03:53.847350,19
 00:03:54.897520,19
 00:03:55.887270,19
 00:03:56.857910,19
 00:03:57.843570,19
 00:03:58.849800,19
 00:03:59.884900,19
 00:04:00.902420,19
 00:04:01.848360,19
 00:04:02.866380,19
 00:04:03.878150,19
 00:04:04.868480,19
 00:04:05.869510,19
 00:04:06.874800,19
 00:04:07.829170,19
 00:04:08.847450,19
 00:04:09.833460,19
 00:04:10.827380,19
 00:04:11.863380,19
 00:04:12.875990,19
 00:04:13.807930,19
 00:04:14.846620,19
 00:04:15.843850,19
 00:04:16.810300,19
 00:04:17.809840,19
 00:04:18.819260,19
 00:04:19.810990,19
 00:04:20.828410,19
 00:04:21.840930,19
 00:04:22.843230,19
 00:04:23.838130,19
 00:04:24.816210,19
 00:04:25.865980,19
 00:04:26.855190,19
 00:04:27.849280,19
 00:04:28.865930,19
 00:04:29.874450,19
 00:04:30.882680,19
 00:04:31.812050,19
 00:04:32.803770,19
 00:04:33.846570,19
 00:04:34.798770,19
 00:04:35.805180,19
 00:04:36.806360,19
 00:04:37.796860,19
 00:04:38.855930,19
 00:04:39.797960,19
 00:04:40.857750,19
 00:04:41.807750,19
 00:04:42.796250,19
 00:04:43.850930,19
 00:04:44.833280,19
 00:04:45.828740,19
 00:04:46.819790,19
 00:04:47.800970,19
 00:04:48.858570,19
 00:04:49.846020,19
 00:04:50.785550,19
 00:04:51.789340,19
 00:04:52.790580,19
 00:04:53.797380,19
 00:04:54.787840,19
 00:04:55.811840,19
 00:04:56.820920,19
 00:04:57.768980,19
 00:04:58.827810,19
 00:04:59.764600,19
 00:05:00.805040,19
 00:05:01.814340,19
 00:05:02.799950,19
 00:05:03.777530,19
 00:05:04.822550,19
 00:05:05.773680,19
 00:05:06.800620,19
 00:05:07.778030,19
 00:05:08.781270,19
 00:05:09.763520,19
 00:05:10.815000,19
 00:05:11.798400,19
 00:05:12.816680,19
 00:05:13.739630,19
 00:05:14.778940,19
 00:05:15.771860,19
 00:05:16.765410,19
 00:05:17.755490,19
 00:05:18.796490,19
 00:05:19.787680,19
 00:05:20.772810,19
 00:05:21.781950,19
 00:05:22.777150,19
 00:05:23.816170,19
 00:05:24.735370,19
 00:05:25.783670,19
 00:05:26.743740,19
 00:05:27.810970,19
 00:05:28.744820,19
 00:05:29.802600,19
 00:05:30.780320,19
 00:05:31.789750,19
 00:05:32.720930,19
 00:05:33.721350,19
 00:05:34.711470,19
 00:05:35.727240,19
 00:05:36.742840,19
 00:05:37.722520,19
 00:05:38.734080,19
 00:05:39.740810,19
 00:05:40.739160,19
 00:05:41.747680,19
 00:05:42.725580,19
 00:05:43.709180,19
 00:05:44.753650,19
 00:05:45.757560,19
 00:05:46.710520,19
 00:05:47.723960,19
 00:05:48.730090,19
 00:05:49.728470,19
 00:05:50.704410,19
 00:05:51.715550,19
 00:05:52.711390,19
 00:05:53.720440,19
 00:05:54.751770,19
 00:05:55.761920,19
 00:05:56.771140,19
 00:05:57.716460,19
 00:05:58.724110,19
 00:05:59.739830,19
 00:06:00.731240,19
 00:06:01.735520,19
 00:06:02.743410,19
 00:06:03.738760,19
 00:06:04.795140,19
 00:06:05.765120,19
 00:06:06.725800,19
 00:06:07.790750,19
 00:06:08.734950,19
 00:06:09.789140,19
 00:06:10.745450,19
 00:06:11.729960,19
 00:06:12.748320,19
 00:06:13.741240,19
 00:06:14.735060,19
 00:06:15.749920,19
 00:06:16.747730,19
 00:06:17.743460,19
 00:06:18.700820,19
 00:06:19.751450,19
 00:06:20.748380,19
 00:06:21.747940,19
 00:06:22.758550,19
 00:06:23.731220,19
 00:06:24.722280,19
 00:06:25.736930,19
 00:06:26.744940,19
 00:06:27.741370,19
 00:06:28.740650,19
 00:06:29.738350,19
 00:06:30.747900,19
 00:06:31.729130,19
 00:06:32.688470,19
 00:06:33.736200,19
 00:06:34.730370,19
 00:06:35.683040,19
 00:06:36.677140,19
 00:06:37.733690,19
 00:06:38.725720,19
 00:06:39.670750,19
 00:06:40.727140,19
 00:06:41.741930,19
 00:06:42.712450,19
 00:06:43.719680,19
 00:06:44.707260,19
 00:06:45.685980,19
 00:06:46.687210,19
 00:06:47.741930,19
 00:06:48.722370,19
 00:06:49.699850,19
 00:06:50.752790,19
 00:06:51.684560,19
 00:06:52.685110,19
 00:06:53.691120,19
 00:06:54.748980,19
 00:06:55.680530,19
 00:06:56.678070,19
 00:06:57.718850,19
 00:06:58.723690,19
 00:06:59.716840,19
 00:07:00.724450,19
 00:07:01.670970,19
 00:07:02.683180,19
 00:07:03.704070,19
 00:07:04.720660,19
 00:07:05.655690,19
 00:07:06.715350,19
 00:07:07.663850,19
 00:07:08.673130,19
 00:07:09.674990,19
 00:07:10.672210,19
 00:07:11.668490,19
 00:07:12.656730,19
 00:07:13.668120,19
 00:07:14.684080,19
 00:07:15.675090,19
 00:07:16.694460,19
 00:07:17.672070,19
 00:07:18.680680,19
 00:07:19.690600,19
 00:07:20.672030,19
 00:07:21.674670,19
 00:07:22.663450,19
 00:07:23.710930,19
 00:07:24.698290,19
 00:07:25.701770,19
 00:07:26.696300,19
 00:07:27.685140,19
 00:07:28.667380,19
 00:07:29.671410,19
 00:07:30.668880,19
 00:07:31.711390,19
 00:07:32.710720,19
 00:07:33.719930,19
 00:07:34.713720,19
 00:07:35.711990,19
 00:07:36.669780,19
 00:07:37.728550,19
 00:07:38.725870,19
 00:07:39.724360,19
 00:07:40.676070,19
 00:07:41.676850,19
 00:07:42.674520,19
 00:07:43.735520,19
 00:07:44.702540,19
 00:07:45.713530,19
 00:07:46.697940,19
 00:07:47.699770,19
 00:07:48.711730,19
 00:07:49.700720,19
 00:07:50.719650,19
 00:07:51.669840,19
 00:07:52.679830,19
 00:07:53.676620,19
 00:07:54.667640,19
 00:07:55.731930,19
 00:07:56.702890,19
 00:07:57.733940,19
 00:07:58.723010,19
 00:07:59.662390,19
 00:08:00.701710,19
 00:08:01.717940,19
 00:08:02.738010,19
 00:08:03.665980,19
 00:08:04.660900,19
 00:08:05.657080,19
 00:08:06.698780,19
 00:08:07.626290,19
 00:08:08.625300,19
 00:08:09.641250,19
 00:08:10.634340,19
 00:08:11.638510,19
 00:08:12.638770,19
 00:08:13.654370,19
 00:08:14.655710,19
 00:08:15.648970,19
 00:08:16.654460,19
 00:08:17.667120,19
 00:08:18.646370,19
 00:08:19.631740,19
 00:08:20.622870,19
 00:08:21.619780,19
 00:08:22.678310,19
 00:08:23.661490,19
 00:08:24.659660,19
 00:08:25.643870,19
 00:08:26.665060,19
 00:08:27.669020,19
 00:08:28.664470,19
 00:08:29.649750,19
 00:08:30.637650,19
 00:08:31.646790,19
 00:08:32.658890,19
 00:08:33.640790,19
