value,timestamp
0,2022-02-17 00:01:42.406800
0,2022-02-17 00:01:43.391740
0,2022-02-17 00:01:44.373230
0,2022-02-17 00:01:45.394630
0,2022-02-17 00:01:46.354550
0,2022-02-17 00:01:47.397430
0,2022-02-17 00:01:48.377340
0,2022-02-17 00:01:49.379470
0,2022-02-17 00:01:50.387670
0,2022-02-17 00:01:51.341990
0,2022-02-17 00:01:52.336290
0,2022-02-17 00:01:53.338190
0,2022-02-17 00:01:54.394210
0,2022-02-17 00:01:55.406090
0,2022-02-17 00:01:56.391010
0,2022-02-17 00:01:57.387840
0,2022-02-17 00:01:58.359100
0,2022-02-17 00:01:59.357630
0,2022-02-17 00:02:00.393740
0,2022-02-17 00:02:01.353880
0,2022-02-17 00:02:02.382640
0,2022-02-17 00:02:03.358920
0,2022-02-17 00:02:04.389470
0,2022-02-17 00:02:05.358130
0,2022-02-17 00:02:06.369730
0,2022-02-17 00:02:07.367510
0,2022-02-17 00:02:08.379500
0,2022-02-17 00:02:09.398410
0,2022-02-17 00:02:10.335380
0,2022-02-17 00:02:11.368240
0,2022-02-17 00:02:12.376300
0,2022-02-17 00:02:13.375530
0,2022-02-17 00:02:14.357410
0,2022-02-17 00:02:15.346210
0,2022-02-17 00:02:16.400800
0,2022-02-17 00:02:17.404240
0,2022-02-17 00:02:18.385050
0,2022-02-17 00:02:19.397840
0,2022-02-17 00:02:20.384820
0,2022-02-17 00:02:21.399760
0,2022-02-17 00:02:22.356040
0,2022-02-17 00:02:23.358890
0,2022-02-17 00:02:24.352650
0,2022-02-17 00:02:25.371650
0,2022-02-17 00:02:26.363600
0,2022-02-17 00:02:27.407250
0,2022-02-17 00:02:28.412280
0,2022-02-17 00:02:29.357750
0,2022-02-17 00:02:30.374570
0,2022-02-17 00:02:31.380720
0,2022-02-17 00:02:32.363290
0,2022-02-17 00:02:33.350470
0,2022-02-17 00:02:34.396330
0,2022-02-17 00:02:35.336530
0,2022-02-17 00:02:36.351480
0,2022-02-17 00:02:37.330210
0,2022-02-17 00:02:38.342940
0,2022-02-17 00:02:39.352060
0,2022-02-17 00:02:40.372290
0,2022-02-17 00:02:41.385080
0,2022-02-17 00:02:42.362590
0,2022-02-17 00:02:43.319390
0,2022-02-17 00:02:44.259320
0,2022-02-17 00:02:45.231680
0,2022-02-17 00:02:46.207370
0,2022-02-17 00:02:47.115110
0,2022-02-17 00:02:48.140430
0,2022-02-17 00:02:49.069310
0,2022-02-17 00:02:50.093870
0,2022-02-17 00:02:51.071570
0,2022-02-17 00:02:52.080760
0,2022-02-17 00:02:53.057150
0,2022-02-17 00:02:53.982950
0,2022-02-17 00:02:54.978000
0,2022-02-17 00:02:55.976080
0,2022-02-17 00:02:56.980630
0,2022-02-17 00:02:57.991980
0,2022-02-17 00:02:58.945600
0,2022-02-17 00:02:59.956660
0,2022-02-17 00:03:00.979260
0,2022-02-17 00:03:01.961980
0,2022-02-17 00:03:02.948680
0,2022-02-17 00:03:03.918320
0,2022-02-17 00:03:04.946130
0,2022-02-17 00:03:05.929770
0,2022-02-17 00:03:06.916240
0,2022-02-17 00:03:07.913510
0,2022-02-17 00:03:08.921280
0,2022-02-17 00:03:09.918300
0,2022-02-17 00:03:10.920630
0,2022-02-17 00:03:11.921910
0,2022-02-17 00:03:12.911810
0,2022-02-17 00:03:13.897330
0,2022-02-17 00:03:14.911200
0,2022-02-17 00:03:15.901380
0,2022-02-17 00:03:16.874490
0,2022-02-17 00:03:17.870270
0,2022-02-17 00:03:18.896930
0,2022-02-17 00:03:19.882750
0,2022-02-17 00:03:20.893190
0,2022-02-17 00:03:21.891110
0,2022-02-17 00:03:22.913360
0,2022-02-17 00:03:23.889820
0,2022-02-17 00:03:24.905460
0,2022-02-17 00:03:25.902810
0,2022-02-17 00:03:26.921940
0,2022-02-17 00:03:27.864430
0,2022-02-17 00:03:28.867950
0,2022-02-17 00:03:29.873450
0,2022-02-17 00:03:30.877710
0,2022-02-17 00:03:31.871220
0,2022-02-17 00:03:32.867910
0,2022-02-17 00:03:33.870860
0,2022-02-17 00:03:34.876040
0,2022-02-17 00:03:35.875310
0,2022-02-17 00:03:36.867040
