time,value
 00:01:42.081460,1490
 00:01:43.022310,1491
 00:01:44.013870,1491
 00:01:45.042360,1491
 00:01:46.019080,1491
 00:01:47.039520,1491
 00:01:47.998740,1491
 00:01:49.018070,1491
 00:01:50.024420,1490
 00:01:51.008540,1490
 00:01:52.022290,1490
 00:01:53.023420,1490
 00:01:54.014010,1490
 00:01:55.016910,1490
 00:01:56.009470,1490
 00:01:56.993510,1490
 00:01:58.015070,1490
 00:01:59.019110,1490
 00:01:59.997350,1490
 00:02:01.015540,1490
 00:02:02.044650,1490
 00:02:03.056590,1490
 00:02:04.051570,1490
 00:02:05.035540,1490
 00:02:05.969340,1490
 00:02:06.975860,1491
 00:02:07.959530,1491
 00:02:09.014520,1491
 00:02:09.998080,1491
 00:02:10.981320,1491
 00:02:11.986040,1491
 00:02:12.977240,1491
 00:02:13.967050,1491
 00:02:14.983030,1491
 00:02:15.995450,1490
 00:02:17.012920,1490
 00:02:17.983910,1490
 00:02:18.981290,1489
 00:02:20.004250,1490
 00:02:21.007100,1490
 00:02:21.964850,1490
 00:02:23.019980,1490
 00:02:24.025580,1490
 00:02:25.016780,1490
 00:02:26.021260,1490
 00:02:27.009850,1490
 00:02:28.019340,1491
 00:02:29.025390,1491
 00:02:29.983270,1491
 00:02:30.981320,1490
 00:02:32.051250,1491
 00:02:32.989980,1491
 00:02:34.049160,1491
 00:02:35.019180,1491
 00:02:36.017090,1491
 00:02:36.999220,1491
 00:02:38.040050,1491
 00:02:39.042640,1491
 00:02:39.985000,1491
 00:02:40.984950,1491
 00:02:41.986190,1491
 00:02:42.935050,1491
 00:02:43.951510,1491
 00:02:44.910450,1491
 00:02:45.839010,1491
 00:02:46.863850,1491
 00:02:47.833320,1491
 00:02:48.765850,1491
 00:02:49.751260,1491
 00:02:50.748510,1491
 00:02:51.735170,1491
 00:02:52.742950,1490
 00:02:53.723370,1491
 00:02:54.652680,1490
 00:02:55.681620,1491
 00:02:56.669150,1491
 00:02:57.653610,1491
