time,value
 00:01:42.081460,1498
 00:01:43.022310,1498
 00:01:44.013870,1498
 00:01:45.042360,1497
 00:01:46.019080,1498
 00:01:47.039520,1498
 00:01:47.998740,1498
 00:01:49.018070,1498
 00:01:50.024420,1497
 00:01:51.008540,1497
 00:01:52.022290,1498
 00:01:53.023420,1497
 00:01:54.014010,1497
 00:01:55.016910,1497
 00:01:56.009470,1498
 00:01:56.993510,1496
 00:01:58.015070,1497
 00:01:59.019110,1496
 00:01:59.997350,1496
 00:02:01.015540,1497
 00:02:02.044650,1495
 00:02:03.056590,1497
 00:02:04.051570,1496
 00:02:05.035540,1497
 00:02:05.969340,1498
 00:02:06.975860,1497
 00:02:07.959530,1497
 00:02:09.014520,1497
 00:02:09.998080,1497
 00:02:10.981320,1497
 00:02:11.986040,1498
 00:02:12.977240,1497
 00:02:13.967050,1498
 00:02:14.983030,1497
 00:02:15.995450,1497
 00:02:17.012920,1497
 00:02:17.983910,1498
 00:02:18.981290,1499
 00:02:20.004250,1498
 00:02:21.007100,1498
 00:02:21.964850,1497
 00:02:23.019980,1497
 00:02:24.025580,1497
 00:02:25.016780,1498
 00:02:26.021260,1497
 00:02:27.009850,1497
 00:02:28.019340,1497
 00:02:29.025390,1497
 00:02:29.983270,1497
 00:02:30.981320,1496
 00:02:32.051250,1498
 00:02:32.989980,1497
 00:02:34.049160,1497
 00:02:35.019180,1497
 00:02:36.017090,1497
 00:02:36.999220,1497
 00:02:38.040050,1497
 00:02:39.042640,1497
 00:02:39.985000,1496
 00:02:40.984950,1496
 00:02:41.986190,1496
 00:02:42.935050,1497
 00:02:43.951510,1497
 00:02:44.910450,1498
 00:02:45.839010,1498
 00:02:46.863850,1499
 00:02:47.833320,1498
 00:02:48.765850,1498
 00:02:49.751260,1498
 00:02:50.748510,1497
 00:02:51.735170,1497
 00:02:52.742950,1497
 00:02:53.723370,1498
 00:02:54.652680,1497
 00:02:55.681620,1498
 00:02:56.669150,1497
 00:02:57.653610,1498
 00:02:58.648020,1498
 00:02:59.665110,1498
 00:03:00.649120,1497
 00:03:01.638250,1497
 00:03:02.650760,1497
 00:03:03.657720,1498
 00:03:04.598680,1496
 00:03:05.586150,1497
 00:03:06.625120,1497
 00:03:07.606870,1497
 00:03:08.598220,1498
 00:03:09.646680,1498
 00:03:10.576590,1497
 00:03:11.605960,1497
 00:03:12.588290,1497
 00:03:13.575000,1497
 00:03:14.588510,1498
 00:03:15.588690,1498
 00:03:16.634720,1498
 00:03:17.637880,1497
 00:03:18.636650,1496
 00:03:19.655090,1497
 00:03:20.587050,1498
 00:03:21.608680,1498
 00:03:22.612830,1498
 00:03:23.607150,1499
 00:03:24.606440,1497
 00:03:25.604730,1497
 00:03:26.608960,1496
 00:03:27.609270,1496
 00:03:28.601440,1496
 00:03:29.596730,1498
 00:03:30.597600,1497
 00:03:31.594730,1498
 00:03:32.640480,1497
 00:03:33.650440,1497
 00:03:34.650290,1497
 00:03:35.602070,1497
 00:03:36.629850,1498
 00:03:37.623060,1497
 00:03:38.621810,1497
 00:03:39.635590,1498
 00:03:40.634640,1497
 00:03:41.632780,1496
 00:03:42.624200,1496
 00:03:43.686980,1496
 00:03:44.634340,1497
 00:03:45.695630,1497
 00:03:46.630610,1497
 00:03:47.629220,1496
 00:03:48.632930,1498
 00:03:49.631530,1498
 00:03:50.699100,1498
 00:03:51.691730,1499
 00:03:52.637480,1498
 00:03:53.627730,1498
 00:03:54.632490,1497
 00:03:55.650870,1496
 00:03:56.674770,1496
 00:03:57.627520,1496
 00:03:58.682630,1497
 00:03:59.689370,1496
 00:04:00.682650,1495
 00:04:01.686750,1496
 00:04:02.686590,1497
 00:04:03.699990,1497
 00:04:04.693480,1498
 00:04:05.670710,1497
 00:04:06.668570,1497
 00:04:07.659120,1498
