time,value
 00:01:41.793250,20
 00:01:42.744970,20
 00:01:43.743580,20
 00:01:44.741470,20
 00:01:45.742050,20
 00:01:46.747210,20
 00:01:47.780880,20
 00:01:48.796800,20
 00:01:49.815390,20
 00:01:50.775980,20
 00:01:51.798420,20
 00:01:52.800290,20
 00:01:53.802390,20
 00:01:54.741420,20
 00:01:55.797090,20
 00:01:56.785940,20
 00:01:57.791280,20
 00:01:58.804870,20
 00:01:59.795420,20
 00:02:00.795250,20
 00:02:01.823180,20
 00:02:02.753110,20
 00:02:03.754760,20
 00:02:04.751900,20
 00:02:05.751120,20
 00:02:06.772830,20
 00:02:07.750870,20
 00:02:08.731870,20
 00:02:09.787660,20
 00:02:10.778650,20
 00:02:11.780550,20
 00:02:12.754950,20
 00:02:13.747880,20
 00:02:14.771320,20
 00:02:15.765210,20
 00:02:16.737660,20
 00:02:17.783640,20
 00:02:18.761010,20
 00:02:19.782740,20
 00:02:20.787280,20
 00:02:21.745840,20
 00:02:22.739230,20
 00:02:23.805990,20
 00:02:24.734110,20
 00:02:25.731380,20
 00:02:26.784890,20
 00:02:27.728570,20
 00:02:28.738400,20
 00:02:29.774770,20
 00:02:30.765240,20
 00:02:31.759970,20
 00:02:32.767480,20
 00:02:33.756090,20
 00:02:34.742620,20
 00:02:35.736470,20
 00:02:36.785660,20
 00:02:37.764850,20
 00:02:38.749920,20
 00:02:39.771760,20
 00:02:40.775570,20
 00:02:41.776220,20
 00:02:42.729400,20
 00:02:43.666940,20
 00:02:44.634370,20
 00:02:45.621670,20
 00:02:46.574480,20
 00:02:47.555310,20
 00:02:48.539640,20
 00:02:49.550470,20
 00:02:50.464250,20
 00:02:51.443290,20
 00:02:52.457270,20
 00:02:53.434380,20
 00:02:54.432720,20
 00:02:55.399150,20
 00:02:56.398160,20
 00:02:57.384570,20
 00:02:58.436320,20
 00:02:59.370790,20
 00:03:00.361490,20
 00:03:01.345870,20
 00:03:02.358280,20
 00:03:03.385250,20
 00:03:04.380330,20
 00:03:05.381660,20
 00:03:06.337060,20
 00:03:07.328930,20
 00:03:08.313040,20
 00:03:09.361410,20
 00:03:10.359440,20
 00:03:11.332110,20
 00:03:12.378070,20
 00:03:13.361260,20
 00:03:14.383660,20
 00:03:15.376400,20
 00:03:16.347810,20
 00:03:17.338590,20
 00:03:18.349860,20
 00:03:19.356460,20
 00:03:20.364440,20
 00:03:21.381630,20
 00:03:22.391840,20
 00:03:23.390080,20
 00:03:24.394870,20
 00:03:25.396360,20
 00:03:26.386830,20
 00:03:27.402230,20
 00:03:28.393080,20
 00:03:29.398300,20
 00:03:30.391610,20
 00:03:31.377020,20
 00:03:32.433010,20
 00:03:33.427760,20
 00:03:34.440350,20
 00:03:35.383380,20
 00:03:36.409010,20
 00:03:37.408960,20
 00:03:38.397980,20
 00:03:39.421680,20
 00:03:40.434950,20
 00:03:41.409780,20
 00:03:42.408490,20
 00:03:43.406370,20
 00:03:44.418110,20
 00:03:45.405040,20
 00:03:46.419620,20
 00:03:47.413230,20
 00:03:48.420710,20
 00:03:49.414830,20
 00:03:50.403980,20
 00:03:51.404960,20
 00:03:52.423820,20
 00:03:53.407380,20
 00:03:54.411140,20
 00:03:55.351380,20
 00:03:56.379810,20
 00:03:57.335430,20
 00:03:58.334820,20
 00:03:59.393910,20
 00:04:00.335460,20
 00:04:01.333890,20
