time,value
 00:01:42.256270,21
 00:01:43.204230,21
 00:01:44.264250,21
 00:01:45.226240,21
 00:01:46.199120,21
 00:01:47.245990,21
 00:01:48.222780,21
 00:01:49.239950,21
 00:01:50.231880,21
 00:01:51.237090,21
 00:01:52.271260,21
 00:01:53.261070,21
 00:01:54.245630,21
 00:01:55.232300,21
 00:01:56.229800,21
 00:01:57.225820,21
 00:01:58.236550,21
 00:01:59.229000,21
 00:02:00.243450,21
 00:02:01.221140,21
 00:02:02.242680,21
 00:02:03.231670,21
 00:02:04.236600,21
 00:02:05.245020,21
 00:02:06.259740,21
 00:02:07.254170,21
 00:02:08.283570,21
 00:02:09.276340,21
 00:02:10.276680,21
 00:02:11.272380,21
 00:02:12.286070,21
 00:02:13.263820,21
 00:02:14.250880,21
 00:02:15.257410,21
 00:02:16.274740,21
 00:02:17.274830,21
 00:02:18.269240,21
 00:02:19.289200,21
 00:02:20.264190,21
 00:02:21.255160,21
 00:02:22.269590,21
 00:02:23.281480,21
 00:02:24.296380,21
 00:02:25.287940,21
 00:02:26.265610,21
 00:02:27.275980,21
 00:02:28.257500,21
 00:02:29.268510,21
 00:02:30.268610,21
 00:02:31.241860,21
 00:02:32.236200,21
 00:02:33.235160,21
 00:02:34.244790,21
 00:02:35.243170,21
 00:02:36.273540,21
 00:02:37.265650,21
 00:02:38.267880,21
 00:02:39.281810,21
 00:02:40.276920,21
 00:02:41.295910,21
 00:02:42.277970,21
 00:02:43.283470,21
 00:02:44.288790,21
 00:02:45.284050,21
 00:02:46.273240,21
 00:02:47.260750,21
 00:02:48.327590,21
 00:02:49.260970,21
 00:02:50.295590,21
 00:02:51.265370,21
 00:02:52.314550,21
 00:02:53.313210,21
 00:02:54.310600,21
 00:02:55.308250,21
 00:02:56.299650,21
 00:02:57.299620,21
 00:02:58.306420,21
 00:02:59.316070,21
 00:03:00.245690,21
 00:03:01.301220,21
 00:03:02.288980,21
 00:03:03.292690,21
 00:03:04.297150,21
 00:03:05.308860,21
 00:03:06.299450,21
 00:03:07.280800,21
 00:03:08.274580,21
 00:03:09.257990,21
 00:03:10.322510,21
 00:03:11.288710,21
 00:03:12.302720,21
 00:03:13.287520,21
 00:03:14.284680,21
 00:03:15.292730,21
 00:03:16.291090,21
 00:03:17.306270,21
 00:03:18.270510,21
 00:03:19.298030,21
 00:03:20.305760,21
 00:03:21.310100,21
 00:03:22.280160,21
 00:03:23.285390,21
 00:03:24.294150,21
 00:03:25.320410,21
 00:03:26.272770,21
 00:03:27.337360,21
 00:03:28.343190,21
 00:03:29.272060,21
 00:03:30.322670,21
 00:03:31.299250,21
 00:03:32.301570,21
 00:03:33.300380,21
 00:03:34.292040,21
 00:03:35.298790,21
 00:03:36.310810,21
 00:03:37.330190,21
 00:03:38.321880,21
 00:03:39.328880,21
 00:03:40.311940,21
 00:03:41.314810,21
 00:03:42.300260,21
 00:03:43.328390,21
 00:03:44.320920,21
 00:03:45.345450,21
 00:03:46.281560,21
