time,value
 00:01:42.428440,1593
 00:01:43.461340,1591
 00:01:44.478740,1591
 00:01:45.413780,1593
 00:01:46.446860,1592
 00:01:47.456880,1592
 00:01:48.461720,1593
 00:01:49.456400,1592
 00:01:50.446870,1594
 00:01:51.451140,1595
 00:01:52.423170,1594
 00:01:53.469210,1594
 00:01:54.404500,1594
 00:01:55.407080,1598
 00:01:56.461020,1598
 00:01:57.435570,1594
 00:01:58.419990,1593
 00:01:59.434940,1593
 00:02:00.422550,1593
 00:02:01.432480,1595
 00:02:02.443380,1592
 00:02:03.454680,1591
 00:02:04.406800,1596
 00:02:05.404630,1596
 00:02:06.445570,1594
 00:02:07.402540,1595
 00:02:08.400500,1595
 00:02:09.397510,1595
 00:02:10.402480,1595
 00:02:11.427380,1595
 00:02:12.433060,1593
 00:02:13.378490,1594
 00:02:14.394900,1595
 00:02:15.395510,1593
 00:02:16.405270,1591
 00:02:17.401340,1593
 00:02:18.437330,1595
 00:02:19.375200,1594
 00:02:20.368180,1594
 00:02:21.371910,1594
 00:02:22.379760,1595
 00:02:23.372680,1593
 00:02:24.370890,1592
 00:02:25.361670,1593
 00:02:26.410580,1593
 00:02:27.397610,1594
 00:02:28.408540,1594
 00:02:29.413570,1593
 00:02:30.423560,1594
 00:02:31.397570,1593
 00:02:32.461790,1594
 00:02:33.400410,1598
 00:02:34.463240,1597
 00:02:35.404780,1597
 00:02:36.415850,1596
 00:02:37.418390,1596
 00:02:38.411950,1595
 00:02:39.426660,1594
 00:02:40.422920,1597
 00:02:41.427730,1595
 00:02:42.443180,1595
 00:02:43.373350,1595
 00:02:44.370880,1592
 00:02:45.325300,1591
 00:02:46.326440,1591
 00:02:47.316710,1592
 00:02:48.299030,1591
 00:02:49.281460,1591
 00:02:50.271800,1590
 00:02:51.261710,1592
 00:02:52.305390,1593
 00:02:53.273930,1594
 00:02:54.249880,1597
 00:02:55.302360,1598
 00:02:56.222050,1600
 00:02:57.209460,1602
 00:02:58.252420,1602
 00:02:59.201100,1599
 00:03:00.222290,1599
 00:03:01.213120,1597
 00:03:02.205520,1597
 00:03:03.206540,1597
 00:03:04.177870,1596
 00:03:05.201190,1596
 00:03:06.187620,1597
 00:03:07.197500,1597
 00:03:08.185510,1596
 00:03:09.182720,1596
 00:03:10.194280,1596
 00:03:11.194820,1597
 00:03:12.186590,1597
 00:03:13.197020,1597
 00:03:14.181350,1598
 00:03:15.170570,1598
 00:03:16.167780,1594
 00:03:17.169950,1594
 00:03:18.189780,1598
 00:03:19.157760,1595
 00:03:20.169780,1597
 00:03:21.166610,1598
 00:03:22.169840,1596
 00:03:23.207550,1596
 00:03:24.143660,1596
 00:03:25.142280,1595
 00:03:26.164940,1596
 00:03:27.172540,1597
 00:03:28.168100,1597
 00:03:29.149570,1597
 00:03:30.142130,1593
