time,value
 00:01:42.218400,18
 00:01:43.169390,18
 00:01:44.181270,18
 00:01:45.184680,18
 00:01:46.157770,18
 00:01:47.165110,18
 00:01:48.164830,18
 00:01:49.180710,18
 00:01:50.163870,18
 00:01:51.172380,18
 00:01:52.140060,18
 00:01:53.184620,18
 00:01:54.127560,18
 00:01:55.190130,18
 00:01:56.174270,18
 00:01:57.151960,18
 00:01:58.150830,18
 00:01:59.152050,18
 00:02:00.146660,18
 00:02:01.140110,18
 00:02:02.158830,18
 00:02:03.169000,18
 00:02:04.190190,18
 00:02:05.184180,18
 00:02:06.172370,18
 00:02:07.171850,18
 00:02:08.180400,18
 00:02:09.184210,18
 00:02:10.185720,18
 00:02:11.135020,18
 00:02:12.129920,18
 00:02:13.163720,18
 00:02:14.171410,18
 00:02:15.174690,18
 00:02:16.185800,18
 00:02:17.118750,18
 00:02:18.159400,18
 00:02:19.152650,18
 00:02:20.149160,18
 00:02:21.163820,18
 00:02:22.152870,18
 00:02:23.159150,18
 00:02:24.148640,18
 00:02:25.156210,18
 00:02:26.121300,18
 00:02:27.125390,18
 00:02:28.117880,18
 00:02:29.122910,18
 00:02:30.119330,18
 00:02:31.130640,18
 00:02:32.110140,18
 00:02:33.110030,18
 00:02:34.098320,18
 00:02:35.119130,18
 00:02:36.127120,18
 00:02:37.129090,18
 00:02:38.130830,18
 00:02:39.147930,18
 00:02:40.085220,18
 00:02:41.076010,18
 00:02:42.082790,18
 00:02:43.039820,18
 00:02:44.016550,18
 00:02:45.047700,18
 00:02:46.036150,18
 00:02:46.967290,18
 00:02:47.945460,18
 00:02:48.932130,18
 00:02:49.928040,18
 00:02:50.906770,18
 00:02:51.950620,18
 00:02:52.936300,18
 00:02:53.902590,18
 00:02:54.900410,18
 00:02:55.924880,18
 00:02:56.861110,18
 00:02:57.856290,18
 00:02:58.842840,18
 00:02:59.863890,18
 00:03:00.855620,18
 00:03:01.848140,18
 00:03:02.847900,18
 00:03:03.843060,18
 00:03:04.840730,18
 00:03:05.844040,18
 00:03:06.832390,18
 00:03:07.832880,18
 00:03:08.844150,18
 00:03:09.860190,18
 00:03:10.840600,18
 00:03:11.817440,18
 00:03:12.810600,18
 00:03:13.823390,18
 00:03:14.806750,18
 00:03:15.821950,18
 00:03:16.811620,18
 00:03:17.811280,18
 00:03:18.811680,18
 00:03:19.814920,18
 00:03:20.817510,18
 00:03:21.806910,18
 00:03:22.849720,18
 00:03:23.863700,18
 00:03:24.851180,18
 00:03:25.809300,18
 00:03:26.812840,18
 00:03:27.809230,18
 00:03:28.807600,18
 00:03:29.792200,18
 00:03:30.853480,18
 00:03:31.792620,18
 00:03:32.849110,18
 00:03:33.847260,18
 00:03:34.822600,18
 00:03:35.859450,18
 00:03:36.831000,18
 00:03:37.828970,18
 00:03:38.811310,18
 00:03:39.809250,18
 00:03:40.834060,18
 00:03:41.840950,18
 00:03:42.830460,18
 00:03:43.828090,18
 00:03:44.817020,18
 00:03:45.836650,18
 00:03:46.830450,18
 00:03:47.816370,18
 00:03:48.845680,18
 00:03:49.838120,18
 00:03:50.830940,18
 00:03:51.844550,18
 00:03:52.849810,18
 00:03:53.835260,18
 00:03:54.823170,18
 00:03:55.885440,18
 00:03:56.882740,18
 00:03:57.840350,18
 00:03:58.832060,18
 00:03:59.889630,18
 00:04:00.895730,18
 00:04:01.828430,18
 00:04:02.844940,18
 00:04:03.860590,18
 00:04:04.862760,18
 00:04:05.843190,18
 00:04:06.852320,18
 00:04:07.872640,18
 00:04:08.845370,18
 00:04:09.849050,18
 00:04:10.838180,18
 00:04:11.839390,18
 00:04:12.846320,18
 00:04:13.843940,18
 00:04:14.875310,18
 00:04:15.879350,18
 00:04:16.881340,18
 00:04:17.887090,18
 00:04:18.899100,18
 00:04:19.896230,18
 00:04:20.827790,18
 00:04:21.831150,18
 00:04:22.884820,18
 00:04:23.871780,18
 00:04:24.852140,18
 00:04:25.864430,18
 00:04:26.842270,18
 00:04:27.851340,18
 00:04:28.864040,18
 00:04:29.842290,18
 00:04:30.895130,18
 00:04:31.908690,18
 00:04:32.886700,18
 00:04:33.894490,18
 00:04:34.851910,18
 00:04:35.864930,18
 00:04:36.864310,18
 00:04:37.899450,18
 00:04:38.900570,18
 00:04:39.840070,18
 00:04:40.849780,18
 00:04:41.859660,18
 00:04:42.886980,18
 00:04:43.831820,18
 00:04:44.876310,18
 00:04:45.846700,18
 00:04:46.845840,18
 00:04:47.872000,18
 00:04:48.821420,18
 00:04:49.824340,18
