value,timestamp
1555,2022-03-03 00:01:41.855200
1555,2022-03-03 00:01:42.842080
1555,2022-03-03 00:01:43.814200
1555,2022-03-03 00:01:44.824880
1555,2022-03-03 00:01:45.838300
1555,2022-03-03 00:01:46.846020
1555,2022-03-03 00:01:47.824080
1554,2022-03-03 00:01:48.816000
1555,2022-03-03 00:01:49.814020
1554,2022-03-03 00:01:50.828260
1554,2022-03-03 00:01:51.812970
1553,2022-03-03 00:01:52.822880
1553,2022-03-03 00:01:53.822730
1552,2022-03-03 00:01:54.824680
1552,2022-03-03 00:01:55.848090
1553,2022-03-03 00:01:56.819960
1554,2022-03-03 00:01:57.859140
1554,2022-03-03 00:01:58.859570
1554,2022-03-03 00:01:59.785290
1554,2022-03-03 00:02:00.823150
1555,2022-03-03 00:02:01.807340
1555,2022-03-03 00:02:02.793390
1555,2022-03-03 00:02:03.819810
1555,2022-03-03 00:02:04.814010
1555,2022-03-03 00:02:05.791570
1555,2022-03-03 00:02:06.788110
1554,2022-03-03 00:02:07.794810
1554,2022-03-03 00:02:08.810540
1554,2022-03-03 00:02:09.818690
1553,2022-03-03 00:02:10.819180
1553,2022-03-03 00:02:11.799280
1553,2022-03-03 00:02:12.802530
1554,2022-03-03 00:02:13.785130
1553,2022-03-03 00:02:14.786690
1554,2022-03-03 00:02:15.793080
1554,2022-03-03 00:02:16.844350
1555,2022-03-03 00:02:17.826430
1555,2022-03-03 00:02:18.819480
1554,2022-03-03 00:02:19.825450
1555,2022-03-03 00:02:20.824900
1555,2022-03-03 00:02:21.828400
1555,2022-03-03 00:02:22.782480
1555,2022-03-03 00:02:23.777170
1555,2022-03-03 00:02:24.783370
1555,2022-03-03 00:02:25.804150
1554,2022-03-03 00:02:26.793350
1555,2022-03-03 00:02:27.842280
1554,2022-03-03 00:02:28.847260
1554,2022-03-03 00:02:29.840680
1554,2022-03-03 00:02:30.808650
1554,2022-03-03 00:02:31.809840
1554,2022-03-03 00:02:32.870860
1554,2022-03-03 00:02:33.842880
1555,2022-03-03 00:02:34.813870
1554,2022-03-03 00:02:35.844900
1554,2022-03-03 00:02:36.852690
1554,2022-03-03 00:02:37.854980
1554,2022-03-03 00:02:38.863620
1554,2022-03-03 00:02:39.848840
1554,2022-03-03 00:02:40.809420
1554,2022-03-03 00:02:41.811390
1554,2022-03-03 00:02:42.785960
1555,2022-03-03 00:02:43.733620
1553,2022-03-03 00:02:44.744380
1554,2022-03-03 00:02:45.653430
